2025-11-06 19:52:29.678 | INFO     | ollama_chat:start_chat_from_inputs:112 - [CHAT] STARTING CHAT (using qwen2.5:7b)
2025-11-06 19:52:29.682 | INFO     | ollama_chat:chat_call:97 - [CHAT] chat_call using qwen2.5:7b
2025-11-06 19:59:16.952 | INFO     | __main__:llm_prompt_processing:72 - [MV-ADAPTER] generating images. prompt to be refined: cute dog
2025-11-06 19:59:16.953 | INFO     | ollama:prepare_prompts:135 - [OLLAMA] prepare_prompts: preparing prompts for input: cute dog (using qwen2.5:7b)
2025-11-06 19:59:17.751 | INFO     | ollama:prepare_prompts:171 - [MV-ADAPTER] prepare_prompts result: {'refined': 'dog, cute, full body', 'negative': 'nsfw, explicit content, blurry, low detail, artifacts, bad anatomy, extra limbs, deformed face, deformed tail, shadows, lighting, background'}
2025-11-06 19:59:25.448 | INFO     | __main__:generate_images:108 - [MV-ADAPTER] Starting generation with 40 inference steps...
2025-11-06 19:59:25.448 | INFO     | __main__:_api_t2mv_generate:84 - [MV-ADAPTER] Calling API with 40 steps...
2025-11-06 19:59:42.764 | INFO     | __main__:_api_t2mv_generate:97 - [MV-ADAPTER] API call successful, processing response...
2025-11-06 19:59:42.769 | INFO     | __main__:_api_t2mv_generate:103 - [MV-ADAPTER] Extracted ZIP to /tmp/views_ycrsvv9p
2025-11-06 19:59:42.770 | INFO     | __main__:generate_images:112 - [MV-ADAPTER] Got 6 images in /tmp/views_ycrsvv9p
2025-11-06 19:59:43.167 | INFO     | __main__:chat_start_fn:42 - [CHAT] starting chat with refined: dog, cute, full body, negative: nsfw, explicit content, blurry, low detail, artifacts, bad anatomy, extra limbs, deformed face, deformed tail, shadows, lighting, background, eval: 
2025-11-06 19:59:43.168 | INFO     | ollama:check_views:231 - [MV-ADAPTER] check_views loading (using qwen2.5vl:7b)
2025-11-06 19:59:43.168 | INFO     | ollama_chat:start_chat_from_inputs:112 - [CHAT] STARTING CHAT (using qwen2.5:7b)
2025-11-06 19:59:43.170 | INFO     | ollama_chat:chat_call:97 - [CHAT] chat_call using qwen2.5:7b
2025-11-06 19:59:47.327 | INFO     | ollama:check_views:238 - [MV-ADAPTER] check_views result: {'avaliation': 'the images match the prompt well, showing a cute dog with a full body from different angles. The images are consistent across the views, and there are no visible issues or artifacts.', 'negative_prompt': 'none'}
2025-11-06 19:59:47.327 | INFO     | __main__:check_views_quality:143 - [MV-ADAPTER] views quality check: {'avaliation': 'the images match the prompt well, showing a cute dog with a full body from different angles. The images are consistent across the views, and there are no visible issues or artifacts.', 'negative_prompt': 'none'}
2025-11-06 19:59:51.325 | INFO     | __main__:chat_start_fn:42 - [CHAT] starting chat with refined: dog, cute, full body, negative: nsfw, explicit content, blurry, low detail, artifacts, bad anatomy, extra limbs, deformed face, deformed tail, unnatural shadows, unrealistic lighting, cluttered background, eval: 
2025-11-06 19:59:51.325 | INFO     | ollama_chat:start_chat_from_inputs:112 - [CHAT] STARTING CHAT (using qwen2.5:7b)
2025-11-06 19:59:51.326 | INFO     | ollama_chat:chat_call:97 - [CHAT] chat_call using qwen2.5:7b
2025-11-06 19:59:52.389 | INFO     | __main__:chat_start_fn:42 - [CHAT] starting chat with refined: dog, cute, full body, negative: nsfw, explicit content, blurry, low detail, artifacts, bad anatomy, extra limbs, deformed face, deformed tail, unnatural shadows, unrealistic lighting, cluttered background, eval: the images match the prompt well, showing a cute dog with a full body from different angles. The images are consistent across the views, and there are no visible issues or artifacts.
2025-11-06 19:59:52.390 | INFO     | ollama_chat:start_chat_from_inputs:112 - [CHAT] STARTING CHAT (using qwen2.5:7b)
2025-11-06 19:59:52.390 | INFO     | ollama_chat:chat_call:97 - [CHAT] chat_call using qwen2.5:7b
2025-11-06 20:03:27.357 | INFO     | __main__:llm_prompt_processing:72 - [MV-ADAPTER] generating images. prompt to be refined: cute dog
2025-11-06 20:03:27.358 | INFO     | ollama:prepare_prompts:135 - [OLLAMA] prepare_prompts: preparing prompts for input: cute dog (using qwen2.5:7b)
2025-11-06 20:03:28.153 | INFO     | ollama:prepare_prompts:171 - [MV-ADAPTER] prepare_prompts result: {'refined': 'dog, cute, full body', 'negative': 'nsfw, explicit content, blurry, low detail, artifacts, bad anatomy, extra limbs, deformed face, deformed tail, shadows, lighting, background'}
2025-11-06 20:03:43.487 | INFO     | __main__:generate_images:108 - [MV-ADAPTER] Starting generation with 40 inference steps...
2025-11-06 20:03:43.488 | INFO     | __main__:_api_t2mv_generate:84 - [MV-ADAPTER] Calling API with 40 steps...
2025-11-06 20:04:00.784 | INFO     | __main__:_api_t2mv_generate:97 - [MV-ADAPTER] API call successful, processing response...
2025-11-06 20:04:00.786 | INFO     | __main__:_api_t2mv_generate:103 - [MV-ADAPTER] Extracted ZIP to /tmp/views_5vm96hv9
